service_offer_id,service_request_id,provider_id,specialist_user_id,created_by_user_id,daily_rate,travel_cost_per_onsite_day,total_cost,contractual_relationship,subcontractor_company,must_have_match_percentage,nice_to_have_match_percentage,status,submitted_at,created_at
64,SR025,P001,SP1009,U102,899.00,0.00,2697.00,Freelancer,,84,83,Rejected,2024-12-23T14:00:00+00:00,2024-12-20T22:00:00+00:00
63,SR025,P002,SP2014,U202,972.00,0.00,2916.00,Employee,Freelance Partner GmbH,79,76,Rejected,2024-12-24T14:00:00+00:00,2024-12-21T07:00:00+00:00
65,SR025,P003,SP3004,U302,895.00,0.00,2685.00,Freelancer,IT Subcontracting KG,73,65,Accepted,2024-12-26T14:00:00+00:00,2024-12-21T09:00:00+00:00
113,SR044,P002,SP2008,U202,912.00,110.00,79312.00,Employee,IT Subcontracting KG,88,92,Rejected,2025-01-06T11:45:00+00:00,2025-01-01T19:45:00+00:00
112,SR044,P001,SP1004,U102,498.00,80.00,43468.00,Freelancer,Freelance Partner GmbH,81,71,Accepted,2025-01-06T11:45:00+00:00,2025-01-02T09:45:00+00:00
76,SR029,P002,SP2012,U202,972.00,60.00,3948.00,Freelancer,IT Subcontracting KG,72,61,Rejected,2025-01-02T18:00:00+00:00,2025-01-02T11:00:00+00:00
75,SR029,P001,SP1006,U102,696.00,80.00,2864.00,Subcontractor,IT Subcontracting KG,75,58,Rejected,2025-01-05T18:00:00+00:00,2025-01-02T17:00:00+00:00
77,SR029,P003,SP3005,U302,858.00,110.00,3542.00,Employee,,92,76,Accepted,2025-01-02T18:00:00+00:00,2025-01-03T01:00:00+00:00
3,SR001,P002,SP2006,U202,454.00,0.00,28148.00,Freelancer,IT Subcontracting KG,80,91,Accepted,2025-01-15T09:15:00+00:00,2025-01-10T18:15:00+00:00
2,SR001,P003,SP3003,U302,934.00,0.00,57908.00,Subcontractor,,72,88,Rejected,2025-01-12T09:15:00+00:00,2025-01-11T13:15:00+00:00
1,SR001,P001,SP1005,U102,1094.00,0.00,67828.00,Freelancer,,75,64,Rejected,2025-01-15T09:15:00+00:00,2025-01-11T14:15:00+00:00
70,SR027,P002,SP2013,U202,1237.00,60.00,85316.00,Freelancer,,93,70,Rejected,2025-02-15T16:45:00+00:00,2025-02-12T22:45:00+00:00
69,SR027,P001,SP1009,U102,784.00,40.00,54112.00,Freelancer,IT Subcontracting KG,96,78,Accepted,2025-02-17T16:45:00+00:00,2025-02-12T22:45:00+00:00
71,SR027,P003,SP3012,U302,464.00,40.00,32352.00,Freelancer,,94,70,Rejected,2025-02-14T16:45:00+00:00,2025-02-13T18:45:00+00:00
23,SR009,P003,SP3003,U302,985.00,0.00,2955.00,Freelancer,Freelance Partner GmbH,97,65,Accepted,2025-03-04T13:30:00+00:00,2025-02-27T04:30:00+00:00
22,SR009,P001,SP1002,U102,510.00,0.00,1530.00,Subcontractor,Freelance Partner GmbH,72,75,Rejected,2025-03-04T13:30:00+00:00,2025-02-27T15:30:00+00:00
24,SR009,P002,SP2009,U202,1080.00,0.00,3240.00,Employee,,77,86,Rejected,2025-02-27T13:30:00+00:00,2025-02-27T16:30:00+00:00
122,SR048,P003,SP3011,U302,610.00,0.00,10370.00,Freelancer,,86,69,Submitted,2025-03-17T15:00:00+00:00,2025-03-13T19:00:00+00:00
123,SR048,P002,SP2004,U202,424.00,0.00,7208.00,Freelancer,IT Subcontracting KG,84,60,Submitted,2025-03-16T15:00:00+00:00,2025-03-13T23:00:00+00:00
121,SR048,P001,SP1003,U102,611.00,0.00,10387.00,Freelancer,Freelance Partner GmbH,97,65,Submitted,2025-03-13T15:00:00+00:00,2025-03-14T02:00:00+00:00
33,SR013,P002,SP2014,U202,769.00,0.00,48447.00,Subcontractor,,92,63,Submitted,2025-03-22T17:30:00+00:00,2025-03-18T10:30:00+00:00
32,SR013,P001,SP1006,U102,569.00,0.00,35847.00,Freelancer,IT Subcontracting KG,76,81,Submitted,2025-03-22T17:30:00+00:00,2025-03-19T03:30:00+00:00
99,SR039,P002,SP2003,U202,729.00,0.00,28431.00,Employee,Freelance Partner GmbH,72,73,Rejected,2025-04-07T18:15:00+00:00,2025-04-03T04:15:00+00:00
100,SR039,P003,SP3007,U302,832.00,0.00,32448.00,Employee,,90,73,Accepted,2025-04-02T18:15:00+00:00,2025-04-03T04:15:00+00:00
79,SR030,P003,SP3020,U302,650.00,110.00,34150.00,Freelancer,IT Subcontracting KG,71,70,Rejected,2025-04-14T13:15:00+00:00,2025-04-11T17:15:00+00:00
80,SR030,P002,SP2008,U202,888.00,40.00,45000.00,Subcontractor,,81,75,Rejected,2025-04-12T13:15:00+00:00,2025-04-11T17:15:00+00:00
78,SR030,P001,SP1002,U102,460.00,80.00,24200.00,Subcontractor,,97,74,Accepted,2025-04-12T13:15:00+00:00,2025-04-12T02:15:00+00:00
26,SR010,P001,SP1003,U102,620.00,40.00,63640.00,Subcontractor,IT Subcontracting KG,75,92,Rejected,2025-04-25T15:30:00+00:00,2025-04-21T04:30:00+00:00
25,SR010,P002,SP2006,U202,428.00,80.00,44456.00,Employee,Freelance Partner GmbH,76,95,Accepted,2025-04-25T15:30:00+00:00,2025-04-21T12:30:00+00:00
17,SR007,P003,SP3016,U302,1057.00,60.00,18149.00,Employee,IT Subcontracting KG,94,84,Rejected,2025-05-12T08:45:00+00:00,2025-05-12T06:45:00+00:00
18,SR007,P002,SP2004,U202,527.00,60.00,9139.00,Employee,Freelance Partner GmbH,79,87,Accepted,2025-05-15T08:45:00+00:00,2025-05-12T22:45:00+00:00
94,SR037,P003,SP3004,U302,866.00,0.00,10392.00,Freelancer,,81,80,Rejected,2025-06-06T08:00:00+00:00,2025-06-01T18:00:00+00:00
95,SR037,P001,SP1006,U102,609.00,0.00,7308.00,Employee,,93,82,Accepted,2025-06-07T08:00:00+00:00,2025-06-02T19:00:00+00:00
20,SR008,P002,SP2001,U202,457.00,0.00,8226.00,Freelancer,IT Subcontracting KG,83,72,Accepted,2025-06-13T15:30:00+00:00,2025-06-07T22:30:00+00:00
21,SR008,P001,SP1007,U102,699.00,0.00,12582.00,Subcontractor,IT Subcontracting KG,75,56,Rejected,2025-06-09T15:30:00+00:00,2025-06-08T23:30:00+00:00
19,SR008,P003,SP3015,U302,975.00,0.00,17550.00,Freelancer,,92,83,Rejected,2025-06-10T15:30:00+00:00,2025-06-08T23:30:00+00:00
34,SR014,P002,SP2015,U202,937.00,80.00,56700.00,Employee,Freelance Partner GmbH,71,73,Rejected,2025-07-20T13:30:00+00:00,2025-07-14T22:30:00+00:00
36,SR014,P003,SP3009,U302,869.00,60.00,52500.00,Employee,,91,88,Rejected,2025-07-16T13:30:00+00:00,2025-07-15T07:30:00+00:00
35,SR014,P001,SP1006,U102,758.00,80.00,45960.00,Subcontractor,Freelance Partner GmbH,76,67,Accepted,2025-07-19T13:30:00+00:00,2025-07-15T10:30:00+00:00
131,SR051,P002,SP2012,U202,835.00,0.00,3340.00,Subcontractor,,79,83,Rejected,2025-07-25T08:30:00+00:00,2025-07-23T16:30:00+00:00
130,SR051,P001,SP1004,U102,490.00,0.00,1960.00,Freelancer,,90,78,Accepted,2025-07-28T08:30:00+00:00,2025-07-24T22:30:00+00:00
105,SR041,P002,SP2014,U202,830.00,0.00,3320.00,Freelancer,Freelance Partner GmbH,96,86,Rejected,2025-08-24T17:00:00+00:00,2025-08-19T03:00:00+00:00
104,SR041,P001,SP1004,U102,455.00,0.00,1820.00,Freelancer,Freelance Partner GmbH,98,78,Accepted,2025-08-19T17:00:00+00:00,2025-08-19T18:00:00+00:00
106,SR041,P003,SP3008,U302,421.00,0.00,1684.00,Subcontractor,Freelance Partner GmbH,94,75,Rejected,2025-08-21T17:00:00+00:00,2025-08-19T23:00:00+00:00
83,SR032,P001,SP1001,U102,483.00,0.00,34776.00,Freelancer,,75,57,Rejected,2025-09-02T18:00:00+00:00,2025-08-30T00:00:00+00:00
84,SR032,P003,SP3008,U302,467.00,0.00,33624.00,Freelancer,IT Subcontracting KG,80,72,Accepted,2025-08-29T18:00:00+00:00,2025-08-30T10:00:00+00:00
68,SR026,P001,SP1003,U102,750.00,0.00,7500.00,Employee,IT Subcontracting KG,82,81,Rejected,2025-09-18T14:45:00+00:00,2025-09-14T02:45:00+00:00
67,SR026,P002,SP2015,U202,896.00,0.00,8960.00,Employee,IT Subcontracting KG,74,75,Rejected,2025-09-14T14:45:00+00:00,2025-09-14T09:45:00+00:00
66,SR026,P003,SP3019,U302,534.00,0.00,5340.00,Freelancer,Freelance Partner GmbH,89,66,Accepted,2025-09-19T14:45:00+00:00,2025-09-14T13:45:00+00:00
111,SR043,P002,SP2005,U202,690.00,80.00,11970.00,Freelancer,IT Subcontracting KG,92,74,Accepted,2025-09-24T08:15:00+00:00,2025-09-22T21:15:00+00:00
110,SR043,P003,SP3018,U302,943.00,80.00,16271.00,Freelancer,IT Subcontracting KG,73,85,Rejected,2025-09-23T08:15:00+00:00,2025-09-23T09:15:00+00:00
28,SR011,P001,SP1002,U102,534.00,110.00,35088.00,Employee,Freelance Partner GmbH,84,70,Accepted,2025-10-21T16:30:00+00:00,2025-10-20T02:30:00+00:00
29,SR011,P002,SP2007,U202,643.00,110.00,41846.00,Employee,,96,75,Rejected,2025-10-24T16:30:00+00:00,2025-10-20T16:30:00+00:00
27,SR011,P003,SP3011,U302,812.00,80.00,51784.00,Freelancer,,94,78,Rejected,2025-10-24T16:30:00+00:00,2025-10-21T07:30:00+00:00
93,SR036,P001,SP1005,U102,965.00,40.00,22435.00,Employee,IT Subcontracting KG,97,79,Accepted,2025-10-25T16:00:00+00:00,2025-10-23T07:00:00+00:00
92,SR036,P002,SP2013,U202,1279.00,80.00,29897.00,Subcontractor,,75,61,Rejected,2025-10-24T16:00:00+00:00,2025-10-23T11:00:00+00:00
96,SR038,P001,SP1006,U102,605.00,0.00,4235.00,Employee,IT Subcontracting KG,70,58,Accepted,2025-11-04T17:00:00+00:00,2025-11-02T01:00:00+00:00
98,SR038,P002,SP2014,U202,798.00,0.00,5586.00,Subcontractor,IT Subcontracting KG,94,69,Rejected,2025-11-02T17:00:00+00:00,2025-11-02T01:00:00+00:00
97,SR038,P003,SP3014,U302,1281.00,0.00,8967.00,Freelancer,Freelance Partner GmbH,98,79,Rejected,2025-11-03T17:00:00+00:00,2025-11-02T07:00:00+00:00
81,SR031,P001,SP1007,U102,622.00,0.00,1866.00,Subcontractor,IT Subcontracting KG,71,74,Accepted,2025-11-07T16:15:00+00:00,2025-11-02T07:15:00+00:00
82,SR031,P003,SP3004,U302,715.00,0.00,2145.00,Employee,IT Subcontracting KG,70,65,Rejected,2025-11-05T16:15:00+00:00,2025-11-02T18:15:00+00:00
117,SR046,P002,SP2009,U202,981.00,0.00,45126.00,Employee,Freelance Partner GmbH,73,61,Accepted,2025-11-19T08:00:00+00:00,2025-11-16T00:00:00+00:00
118,SR046,P001,SP1010,U102,1003.00,0.00,46138.00,Freelancer,IT Subcontracting KG,76,77,Rejected,2025-11-21T08:00:00+00:00,2025-11-16T14:00:00+00:00
58,SR022,P002,SP2009,U202,1008.00,110.00,18254.00,Employee,IT Subcontracting KG,88,79,Accepted,2025-12-17T12:00:00+00:00,2025-12-17T10:00:00+00:00
56,SR022,P003,SP3017,U302,487.00,80.00,8846.00,Employee,,83,69,Rejected,2025-12-17T12:00:00+00:00,2025-12-17T13:00:00+00:00
57,SR022,P001,SP1010,U102,1079.00,110.00,19532.00,Freelancer,,90,72,Rejected,2025-12-20T12:00:00+00:00,2025-12-17T23:00:00+00:00
128,SR050,P002,SP2015,U202,785.00,0.00,2355.00,Subcontractor,IT Subcontracting KG,75,87,Rejected,2025-12-29T17:15:00+00:00,2025-12-25T17:15:00+00:00
127,SR050,P003,SP3018,U302,941.00,0.00,2823.00,Employee,,89,73,Rejected,2025-12-30T17:15:00+00:00,2025-12-25T19:15:00+00:00
12,SR005,P002,SP2014,U202,775.00,0.00,1550.00,Subcontractor,Freelance Partner GmbH,97,78,Accepted,2025-12-30T17:15:00+00:00,2025-12-26T03:15:00+00:00
11,SR005,P003,SP3010,U302,987.00,0.00,1974.00,Subcontractor,IT Subcontracting KG,83,65,Rejected,2025-12-27T17:15:00+00:00,2025-12-26T05:15:00+00:00
129,SR050,P001,SP1006,U102,630.00,0.00,1890.00,Subcontractor,IT Subcontracting KG,91,81,Accepted,2025-12-30T17:15:00+00:00,2025-12-26T07:15:00+00:00
13,SR005,P001,SP1009,U102,818.00,0.00,1636.00,Freelancer,,94,65,Rejected,2025-12-28T17:15:00+00:00,2025-12-27T01:15:00+00:00
72,SR028,P001,SP1003,U102,724.00,0.00,13756.00,Freelancer,IT Subcontracting KG,83,79,Accepted,2026-01-09T12:30:00+00:00,2026-01-05T20:30:00+00:00
74,SR028,P003,SP3016,U302,955.00,0.00,18145.00,Employee,IT Subcontracting KG,72,84,Rejected,2026-01-11T12:30:00+00:00,2026-01-06T14:30:00+00:00
73,SR028,P002,SP2011,U202,983.00,0.00,18677.00,Employee,Freelance Partner GmbH,86,72,Rejected,2026-01-11T12:30:00+00:00,2026-01-06T15:30:00+00:00
