service_request_id,linked_contract_id,title,type,status,offer_deadline_at,cycles,role,technology,experience_level,start_date,end_date,total_man_days,onsite_days,performance_location,required_languages,must_have_criteria,nice_to_have_criteria,task_description,created_at
SR014,C002,SAP Consultant for Kubernetes – Migration,Work Contract,Closed,2025-07-24T13:30:00+00:00,2,SAP Consultant,Kubernetes,Expert,2025-08-06,2025-11-04,60,6,Onsite,English | German,Stakeholder management | Fluent German language skills (C1) | Experience in agile teams (Scrum/Kanban),Cloud experience (AWS/Azure) | Knowledge of ITIL/COBIT,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-07-14T13:30:00+00:00
SR051,C006,IT Consultant for Python/Django – Migration,Multi,Closed,2025-08-03T08:30:00+00:00,1,IT Consultant,Python/Django,Mid,2025-08-27,2025-09-01,4,0,Onsite,English | German,Documentation according to internal standards | Stakeholder management | Experience in regulated environments | Experience in agile teams (Scrum/Kanban),Experience with data governance | Cloud experience (AWS/Azure) | Experience in the automotive industry,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-07-23T08:30:00+00:00
SR041,C005,QA Engineer for Kubernetes – Operations,Single,Closed,2025-08-27T17:00:00+00:00,1,QA Engineer,Kubernetes,Mid,2025-08-31,2025-09-05,4,0,Onsite,German | English,Fluent German language skills (C1) | Experience in regulated environments | Documentation according to internal standards,"Knowledge of SAP S/4HANA | Certifications (Scrum Master, Prince2) | Experience in the automotive industry","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-08-18T17:00:00+00:00
SR032,C004,Cybersecurity Specialist for Azure – Implementation,Work Contract,Closed,2025-09-03T18:00:00+00:00,2,Cybersecurity Specialist,Azure,Senior,2025-10-05,2026-01-03,72,0,Onshore,German,Hands-on implementation experience | Stakeholder management | Experience in agile teams (Scrum/Kanban),Knowledge of ITIL/COBIT | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-08-28T18:00:00+00:00
SR026,C003,Cloud Architect for SAP S/4HANA – Implementation,Single,Closed,2025-09-22T14:45:00+00:00,1,Cloud Architect,SAP S/4HANA,Expert,2025-09-20,2025-10-05,10,0,Hybrid,English,At least 3 years of project experience | Stakeholder management | Experience in agile teams (Scrum/Kanban) | Fluent German language skills (C1),"Knowledge of ITIL/COBIT | Certifications (Scrum Master, Prince2)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-09-13T14:45:00+00:00
SR043,C006,UX Designer for Kubernetes – Optimization,Single,Closed,2025-10-03T08:15:00+00:00,1,UX Designer,Kubernetes,Mid,2025-10-15,2025-11-04,17,3,Hybrid,German,Experience in regulated environments | Fluent German language skills (C1) | Hands-on implementation experience,"Knowledge of ITIL/COBIT | Certifications (Scrum Master, Prince2)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-09-22T08:15:00+00:00
SR011,C002,Cloud Architect for AWS – Migration,Work Contract,Closed,2025-10-31T16:30:00+00:00,2,Cloud Architect,AWS,Expert,2025-11-14,2026-02-12,62,18,Onsite,German | English,Experience in regulated environments | At least 3 years of project experience | Documentation according to internal standards,"Certifications (Scrum Master, Prince2)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-10-19T16:30:00+00:00
SR036,C005,QA Engineer for SAP S/4HANA – Implementation,Multi,Closed,2025-11-01T16:00:00+00:00,1,QA Engineer,SAP S/4HANA,Mid,2025-11-22,2025-12-22,23,6,Hybrid,German | English,Stakeholder management | Hands-on implementation experience | Fluent German language skills (C1),Cloud experience (AWS/Azure) | Knowledge of ITIL/COBIT,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-10-22T16:00:00+00:00
SR038,C005,Data Analyst for Data Platform – Implementation,Single,Closed,2025-11-10T17:00:00+00:00,1,Data Analyst,Data Platform,Mid,2025-12-08,2025-12-18,7,0,Onsite,German,Fluent German language skills (C1) | Hands-on implementation experience,Experience with data governance,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-10-31T17:00:00+00:00
SR031,C004,QA Engineer for SIEM – Optimization,Work Contract,Closed,2025-11-12T16:15:00+00:00,2,QA Engineer,SIEM,Junior,2025-11-25,2025-11-30,3,0,Hybrid,German | English,Stakeholder management | Fluent German language skills (C1),Knowledge of SAP S/4HANA | Experience in the automotive industry,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-11-01T16:15:00+00:00
SR046,C006,Cloud Architect for AWS – Migration,Single,Closed,2025-11-21T08:00:00+00:00,1,Cloud Architect,AWS,Junior,2025-11-29,2026-01-28,46,0,Hybrid,English | German,Fluent German language skills (C1) | Experience in regulated environments | Experience in agile teams (Scrum/Kanban) | Stakeholder management,Experience with data governance | Experience in the automotive industry | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-11-15T08:00:00+00:00
SR022,C003,Cybersecurity Specialist for AWS – Operations,Work Contract,Closed,2025-12-27T12:00:00+00:00,2,Cybersecurity Specialist,AWS,Junior,2026-01-03,2026-02-02,18,1,Hybrid,English | German,Experience in agile teams (Scrum/Kanban) | Documentation according to internal standards | Experience in regulated environments | At least 3 years of project experience,Knowledge of ITIL/COBIT | Knowledge of SAP S/4HANA,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-12-16T12:00:00+00:00
SR050,C006,Cloud Architect for React/TypeScript – Optimization,Work Contract,Closed,2026-01-05T17:15:00+00:00,2,Cloud Architect,React/TypeScript,Mid,2026-01-08,2026-01-13,3,0,Onshore,German | English,Experience in regulated environments | Hands-on implementation experience | Stakeholder management | Experience in agile teams (Scrum/Kanban),"Certifications (Scrum Master, Prince2) | Cloud experience (AWS/Azure)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-12-24T17:15:00+00:00
SR005,C001,Data Analyst for Kubernetes – Operations,Work Contract,Closed,2026-01-03T17:15:00+00:00,2,Data Analyst,Kubernetes,Mid,2026-01-29,2026-02-01,2,0,Onsite,German | English,Stakeholder management | Fluent German language skills (C1) | Experience in regulated environments,Knowledge of SAP S/4HANA,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-12-25T17:15:00+00:00
SR028,C004,Cloud Architect for Kubernetes – Operations,Team,Closed,2026-01-12T12:30:00+00:00,2,Cloud Architect,Kubernetes,Senior,2026-02-17,2026-03-09,19,0,Onshore,German | English,Hands-on implementation experience | Experience in regulated environments,Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2026-01-05T12:30:00+00:00
