activity_log_id,provider_id,actor_type,actor_user_id,event_type,entity_type,entity_id,message,metadata,created_at
233,P002,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR021,Service request SR021 received and opened.,"{""type"": ""Single"", ""contractId"": ""C003"", ""serviceRequestId"": ""SR021""}",2024-02-02T16:30:00+00:00
235,P002,USER,U202,SERVICE_OFFER_SUBMITTED,ServiceOffer,54,Offer 54 submitted for service request SR021.,"{""offerId"": 54, ""dailyRate"": 741, ""totalCost"": 9222.0, ""serviceRequestId"": ""SR021""}",2024-02-03T16:30:00+00:00
236,P003,USER,U302,SERVICE_OFFER_SUBMITTED,ServiceOffer,55,Offer 55 submitted for service request SR021.,"{""offerId"": 55, ""dailyRate"": 1132, ""totalCost"": 13824.0, ""serviceRequestId"": ""SR021""}",2024-02-03T16:30:00+00:00
7,P001,SYSTEM,,SPECIALIST_ONBOARDED,User,SP1001,"Specialist onboarded: Nina Becker (QA Engineer, Junior).","{""skills"": [""Cypress"", ""JUnit"", ""Snowflake"", ""Test Automation"", ""Test Design""], ""userId"": ""SP1001"", ""avgDailyRate"": 443.0, ""experienceLevel"": ""Junior"", ""technologyLevel"": ""Intermediate""}",2024-02-07T15:00:00+00:00
234,P001,USER,U102,SERVICE_OFFER_SUBMITTED,ServiceOffer,53,Offer 53 submitted for service request SR021.,"{""offerId"": 53, ""dailyRate"": 648, ""totalCost"": 7956.0, ""serviceRequestId"": ""SR021""}",2024-02-08T16:30:00+00:00
21,P002,SYSTEM,,SPECIALIST_ONBOARDED,User,SP2002,"Specialist onboarded: Marie Braun (QA Engineer, Senior).","{""skills"": [""Cypress"", ""FastAPI"", ""JUnit"", ""Tableau"", ""Test Automation"", ""Test Design""], ""userId"": ""SP2002"", ""avgDailyRate"": 804.0, ""experienceLevel"": ""Senior"", ""technologyLevel"": ""Advanced""}",2024-02-12T18:00:00+00:00
24,P002,SYSTEM,,SPECIALIST_ONBOARDED,User,SP2005,"Specialist onboarded: Anna Neumann (Backend Engineer, Mid).","{""skills"": [""API Design"", ""Django"", ""FastAPI"", ""GCP"", ""PostgreSQL"", ""Python"", ""React""], ""userId"": ""SP2005"", ""avgDailyRate"": 668.0, ""experienceLevel"": ""Mid"", ""technologyLevel"": ""Advanced""}",2024-02-14T17:00:00+00:00
23,P002,SYSTEM,,SPECIALIST_ONBOARDED,User,SP2004,"Specialist onboarded: David Hartmann (Data Analyst, Junior).","{""skills"": [""Data Modelling"", ""FastAPI"", ""Power BI"", ""Python"", ""React"", ""SQL""], ""userId"": ""SP2004"", ""avgDailyRate"": 480.0, ""experienceLevel"": ""Junior"", ""technologyLevel"": ""Basic""}",2024-02-15T10:45:00+00:00
237,P002,USER,U202,SERVICE_REQUEST_CLOSED,ServiceRequest,SR021,Service request SR021 closed without award (budget/priority change).,"{""reason"": ""Budget/priority change"", ""serviceRequestId"": ""SR021""}",2024-02-18T16:30:00+00:00
335,P002,SYSTEM,,INVOICE_CREATED,ServiceOrder,30,Invoice created for service order 30.,"{""amount"": 14501.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Invoiced"", ""serviceOrderId"": 30}",2024-02-18T17:00:00+00:00
2,P002,SYSTEM,,PROVIDER_CREATED,Provider,P002,Provider 'NordCloud Consulting AG' onboarded.,"{""name"": ""NordCloud Consulting AG"", ""providerId"": ""P002""}",2024-02-20T09:00:00+00:00
453,P003,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR049,Service request SR049 received and opened.,"{""type"": ""Single"", ""contractId"": ""C006"", ""serviceRequestId"": ""SR049""}",2024-02-21T16:00:00+00:00
9,P001,SYSTEM,,SPECIALIST_ONBOARDED,User,SP1003,"Specialist onboarded: Jonas Bauer (SAP Consultant, Mid).","{""skills"": [""S/4HANA"", ""SAP FI"", ""SAP MM"", ""SAP SD"", ""Spring""], ""userId"": ""SP1003"", ""avgDailyRate"": 654.0, ""experienceLevel"": ""Mid"", ""technologyLevel"": ""Advanced""}",2024-02-21T17:15:00+00:00
188,P001,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR015,Service request SR015 received and opened.,"{""type"": ""Single"", ""contractId"": ""C002"", ""serviceRequestId"": ""SR015""}",2024-02-22T14:45:00+00:00
41,P003,SYSTEM,,SPECIALIST_ONBOARDED,User,SP3004,"Specialist onboarded: Mia Koch (IT Consultant, Senior).","{""skills"": [""ITIL"", ""Kafka"", ""MS Office"", ""Requirements"", ""Stakeholder Mgmt""], ""userId"": ""SP3004"", ""avgDailyRate"": 817.0, ""experienceLevel"": ""Senior"", ""technologyLevel"": ""Advanced""}",2024-02-22T15:45:00+00:00
189,P001,USER,U102,SERVICE_OFFER_SUBMITTED,ServiceOffer,37,Offer 37 submitted for service request SR015.,"{""offerId"": 37, ""dailyRate"": 683, ""totalCost"": 12977.0, ""serviceRequestId"": ""SR015""}",2024-02-23T14:45:00+00:00
458,P003,SYSTEM,,SERVICE_ORDER_CREATED,ServiceOrder,44,Service order 44 created from accepted offer 124.,"{""contractId"": ""C006"", ""serviceOrderId"": 44, ""serviceRequestId"": ""SR049""}",2024-02-24T15:45:00+00:00
454,P003,USER,U302,SERVICE_OFFER_SUBMITTED,ServiceOffer,124,Offer 124 submitted for service request SR049.,"{""offerId"": 124, ""dailyRate"": 985, ""totalCost"": 18775.0, ""serviceRequestId"": ""SR049""}",2024-02-24T16:00:00+00:00
15,P001,SYSTEM,,SPECIALIST_ONBOARDED,User,SP1009,"Specialist onboarded: Jan Klein (Cybersecurity Specialist, Mid).","{""skills"": [""Azure"", ""IAM"", ""ISO 27001"", ""SIEM"", ""Threat Modelling""], ""userId"": ""SP1009"", ""avgDailyRate"": 772.0, ""experienceLevel"": ""Mid"", ""technologyLevel"": ""Intermediate""}",2024-02-25T09:45:00+00:00
8,P001,SYSTEM,,SPECIALIST_ONBOARDED,User,SP1002,"Specialist onboarded: Andreas Neumann (Project Manager, Junior).","{""skills"": [""MS Project"", ""Prince2"", ""Risk Mgmt"", ""Scrum"", ""Spring""], ""userId"": ""SP1002"", ""avgDailyRate"": 469.0, ""experienceLevel"": ""Junior"", ""technologyLevel"": ""Intermediate""}",2024-02-25T11:00:00+00:00
441,P003,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR047,Service request SR047 received and opened.,"{""type"": ""Work Contract"", ""contractId"": ""C006"", ""serviceRequestId"": ""SR047""}",2024-02-25T12:30:00+00:00
60,P001,SYSTEM,,CONTRACT_AWARDED,Contract,C002,Contract C002 awarded to RheinTech Solutions GmbH.,"{""awardId"": 2, ""contractId"": ""C002"", ""providerId"": ""P001""}",2024-02-25T14:30:00+00:00
191,P002,USER,U202,SERVICE_OFFER_SUBMITTED,ServiceOffer,39,Offer 39 submitted for service request SR015.,"{""offerId"": 39, ""dailyRate"": 805, ""totalCost"": 15295.0, ""serviceRequestId"": ""SR015""}",2024-02-25T14:45:00+00:00
190,P003,USER,U302,SERVICE_OFFER_SUBMITTED,ServiceOffer,38,Offer 38 submitted for service request SR015.,"{""offerId"": 38, ""dailyRate"": 961, ""totalCost"": 18259.0, ""serviceRequestId"": ""SR015""}",2024-02-26T14:45:00+00:00
48,P003,SYSTEM,,SPECIALIST_ONBOARDED,User,SP3011,"Specialist onboarded: Sophia Müller (SAP Consultant, Mid).","{""skills"": [""Databricks"", ""S/4HANA"", ""SAP FI"", ""SAP MM"", ""SAP SD"", ""Tableau""], ""userId"": ""SP3011"", ""avgDailyRate"": 676.0, ""experienceLevel"": ""Mid"", ""technologyLevel"": ""Advanced""}",2024-02-26T15:00:00+00:00
443,P003,USER,U302,SERVICE_OFFER_SUBMITTED,ServiceOffer,120,Offer 120 submitted for service request SR047.,"{""offerId"": 120, ""dailyRate"": 1231, ""totalCost"": 65243.0, ""serviceRequestId"": ""SR047""}",2024-02-27T12:30:00+00:00
192,P001,GROUP3_SYSTEM,,SERVICE_OFFER_ACCEPTED,ServiceOffer,37,Offer 37 accepted for service request SR015.,"{""offerId"": 37, ""serviceRequestId"": ""SR015""}",2024-02-27T14:45:00+00:00
455,P002,USER,U202,SERVICE_OFFER_SUBMITTED,ServiceOffer,125,Offer 125 submitted for service request SR049.,"{""offerId"": 125, ""dailyRate"": 1173, ""totalCost"": 22327.0, ""serviceRequestId"": ""SR049""}",2024-02-27T16:00:00+00:00
456,P001,USER,U102,SERVICE_OFFER_SUBMITTED,ServiceOffer,126,Offer 126 submitted for service request SR049.,"{""offerId"": 126, ""dailyRate"": 1254, ""totalCost"": 23866.0, ""serviceRequestId"": ""SR049""}",2024-02-27T16:00:00+00:00
457,P003,GROUP3_SYSTEM,,SERVICE_OFFER_ACCEPTED,ServiceOffer,124,Offer 124 accepted for service request SR049.,"{""offerId"": 124, ""serviceRequestId"": ""SR049""}",2024-02-29T16:00:00+00:00
193,P001,SYSTEM,,SERVICE_ORDER_CREATED,ServiceOrder,14,Service order 14 created from accepted offer 37.,"{""contractId"": ""C002"", ""serviceOrderId"": 14, ""serviceRequestId"": ""SR015""}",2024-03-01T13:30:00+00:00
442,P002,USER,U202,SERVICE_OFFER_SUBMITTED,ServiceOffer,119,Offer 119 submitted for service request SR047.,"{""offerId"": 119, ""dailyRate"": 799, ""totalCost"": 42347.0, ""serviceRequestId"": ""SR047""}",2024-03-02T12:30:00+00:00
444,P002,GROUP3_SYSTEM,,SERVICE_OFFER_ACCEPTED,ServiceOffer,119,Offer 119 accepted for service request SR047.,"{""offerId"": 119, ""serviceRequestId"": ""SR047""}",2024-03-07T12:30:00+00:00
165,P001,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR012,Service request SR012 received and opened.,"{""type"": ""Multi"", ""contractId"": ""C002"", ""serviceRequestId"": ""SR012""}",2024-03-07T12:45:00+00:00
445,P002,SYSTEM,,SERVICE_ORDER_CREATED,ServiceOrder,43,Service order 43 created from accepted offer 119.,"{""contractId"": ""C006"", ""serviceOrderId"": 43, ""serviceRequestId"": ""SR047""}",2024-03-10T10:45:00+00:00
167,P001,USER,U102,SERVICE_OFFER_SUBMITTED,ServiceOffer,31,Offer 31 submitted for service request SR012.,"{""offerId"": 31, ""dailyRate"": 1068, ""totalCost"": 68352.0, ""serviceRequestId"": ""SR012""}",2024-03-10T12:45:00+00:00
166,P003,USER,U302,SERVICE_OFFER_SUBMITTED,ServiceOffer,30,Offer 30 submitted for service request SR012.,"{""offerId"": 30, ""dailyRate"": 410, ""totalCost"": 26240.0, ""serviceRequestId"": ""SR012""}",2024-03-12T12:45:00+00:00
5,P001,SYSTEM,,USER_CREATED,User,U102,Account created for Supplier Representative: Johanna Hartmann.,"{""role"": ""Supplier Representative"", ""email"": ""johanna.hartmann@rheintech.de"", ""userId"": ""U102""}",2024-03-12T15:30:00+00:00
30,P002,SYSTEM,,SPECIALIST_ONBOARDED,User,SP2011,"Specialist onboarded: Katharina Schwarz (Data Analyst, Senior).","{""skills"": [""Data Modelling"", ""Databricks"", ""GCP"", ""Power BI"", ""Python"", ""React"", ""SQL""], ""userId"": ""SP2011"", ""avgDailyRate"": 865.0, ""experienceLevel"": ""Senior"", ""technologyLevel"": ""Advanced""}",2024-03-13T09:15:00+00:00
336,P002,SYSTEM,,SERVICE_ORDER_COMPLETED,ServiceOrder,30,Service order 30 completed.,"{""status"": ""Completed"", ""serviceOrderId"": 30}",2024-03-13T12:30:00+00:00
169,P003,SYSTEM,,SERVICE_ORDER_CREATED,ServiceOrder,12,Service order 12 created from accepted offer 30.,"{""contractId"": ""C002"", ""serviceOrderId"": 12, ""serviceRequestId"": ""SR012""}",2024-03-13T17:45:00+00:00
168,P003,GROUP3_SYSTEM,,SERVICE_OFFER_ACCEPTED,ServiceOffer,30,Offer 30 accepted for service request SR012.,"{""offerId"": 30, ""serviceRequestId"": ""SR012""}",2024-03-14T12:45:00+00:00
38,P003,SYSTEM,,SPECIALIST_ONBOARDED,User,SP3001,"Specialist onboarded: Nina Müller (QA Engineer, Senior).","{""skills"": [""Cypress"", ""JUnit"", ""Spring"", ""Test Automation"", ""Test Design""], ""userId"": ""SP3001"", ""avgDailyRate"": 873.0, ""experienceLevel"": ""Senior"", ""technologyLevel"": ""Advanced""}",2024-03-19T12:30:00+00:00
173,P003,USER,U301,SERVICE_ORDER_CHANGE_REQUEST_CREATED,ServiceOrderChangeRequest,3,Change request 3 (Extension) created for order 12.,"{""type"": ""Extension"", ""serviceOrderId"": 12, ""changeRequestId"": 3}",2024-03-22T12:45:00+00:00
20,P002,SYSTEM,,SPECIALIST_ONBOARDED,User,SP2001,"Specialist onboarded: Mia Müller (Backend Engineer, Junior).","{""skills"": [""API Design"", ""Databricks"", ""Django"", ""PostgreSQL"", ""Python""], ""userId"": ""SP2001"", ""avgDailyRate"": 438.0, ""experienceLevel"": ""Junior"", ""technologyLevel"": ""Basic""}",2024-03-23T17:45:00+00:00
459,P003,SYSTEM,,INVOICE_CREATED,ServiceOrder,44,Invoice created for service order 44.,"{""amount"": 18775.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Invoiced"", ""serviceOrderId"": 44}",2024-03-26T15:45:00+00:00
194,P001,SYSTEM,,INVOICE_CREATED,ServiceOrder,14,Invoice created for service order 14.,"{""amount"": 12977.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Invoiced"", ""serviceOrderId"": 14}",2024-03-29T13:30:00+00:00
461,P003,SYSTEM,,SERVICE_ORDER_COMPLETED,ServiceOrder,44,Service order 44 completed.,"{""status"": ""Completed"", ""serviceOrderId"": 44}",2024-03-31T08:00:00+00:00
49,P003,SYSTEM,,SPECIALIST_ONBOARDED,User,SP3012,"Specialist onboarded: Eva Hartmann (IT Consultant, Junior).","{""skills"": [""ITIL"", ""Kafka"", ""MS Office"", ""Requirements"", ""Stakeholder Mgmt""], ""userId"": ""SP3012"", ""avgDailyRate"": 437.0, ""experienceLevel"": ""Junior"", ""technologyLevel"": ""Intermediate""}",2024-04-03T11:15:00+00:00
12,P001,SYSTEM,,SPECIALIST_ONBOARDED,User,SP1006,"Specialist onboarded: Eva Lange (Data Analyst, Mid).","{""skills"": [""AWS"", ""Azure"", ""Data Modelling"", ""Power BI"", ""Python"", ""React"", ""SQL""], ""userId"": ""SP1006"", ""avgDailyRate"": 616.0, ""experienceLevel"": ""Mid"", ""technologyLevel"": ""Advanced""}",2024-04-06T18:45:00+00:00
61,P002,USER,U203,CONTRACT_PUBLISHED,Contract,C003,Contract C003 published for bidding window.,"{""status"": ""Published"", ""contractId"": ""C003""}",2024-04-07T13:45:00+00:00
422,P003,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR045,Service request SR045 received and opened.,"{""type"": ""Work Contract"", ""contractId"": ""C006"", ""serviceRequestId"": ""SR045""}",2024-04-07T15:30:00+00:00
14,P001,SYSTEM,,SPECIALIST_ONBOARDED,User,SP1008,"Specialist onboarded: Lukas Hoffmann (Project Manager, Mid).","{""skills"": [""Databricks"", ""MS Project"", ""Prince2"", ""Risk Mgmt"", ""Scrum"", ""Spring"", ""TypeScript""], ""userId"": ""SP1008"", ""avgDailyRate"": 689.0, ""experienceLevel"": ""Mid"", ""technologyLevel"": ""Advanced""}",2024-04-07T16:00:00+00:00
50,P003,SYSTEM,,SPECIALIST_ONBOARDED,User,SP3013,"Specialist onboarded: Leon Wagner (Cybersecurity Specialist, Mid).","{""skills"": [""GCP"", ""IAM"", ""ISO 27001"", ""Java"", ""SIEM"", ""Threat Modelling""], ""userId"": ""SP3013"", ""avgDailyRate"": 739.0, ""experienceLevel"": ""Mid"", ""technologyLevel"": ""Intermediate""}",2024-04-08T12:00:00+00:00
425,P001,USER,U102,SERVICE_OFFER_SUBMITTED,ServiceOffer,116,Offer 116 submitted for service request SR045.,"{""offerId"": 116, ""dailyRate"": 468, ""totalCost"": 11700.0, ""serviceRequestId"": ""SR045""}",2024-04-08T15:30:00+00:00
170,P003,SYSTEM,,INVOICE_CREATED,ServiceOrder,12,Invoice created for service order 12.,"{""amount"": 26240.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Invoiced"", ""serviceOrderId"": 12}",2024-04-08T17:45:00+00:00
424,P003,USER,U302,SERVICE_OFFER_SUBMITTED,ServiceOffer,115,Offer 115 submitted for service request SR045.,"{""offerId"": 115, ""dailyRate"": 895, ""totalCost"": 22375.0, ""serviceRequestId"": ""SR045""}",2024-04-09T15:30:00+00:00
195,P001,SYSTEM,,SERVICE_ORDER_COMPLETED,ServiceOrder,14,Service order 14 completed.,"{""status"": ""Completed"", ""serviceOrderId"": 14}",2024-04-10T13:15:00+00:00
423,P002,USER,U202,SERVICE_OFFER_SUBMITTED,ServiceOffer,114,Offer 114 submitted for service request SR045.,"{""offerId"": 114, ""dailyRate"": 418, ""totalCost"": 10450.0, ""serviceRequestId"": ""SR045""}",2024-04-10T15:30:00+00:00
63,P002,SYSTEM,,CONTRACT_AWARDED,Contract,C004,Contract C004 awarded to NordCloud Consulting AG.,"{""awardId"": 4, ""contractId"": ""C004"", ""providerId"": ""P002""}",2024-04-13T09:00:00+00:00
446,P002,SYSTEM,,INVOICE_CREATED,ServiceOrder,43,Invoice created for service order 43.,"{""amount"": 42347.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Invoiced"", ""serviceOrderId"": 43}",2024-04-13T10:45:00+00:00
36,P003,SYSTEM,,USER_CREATED,User,U302,Account created for Supplier Representative: Laura Schmitt.,"{""role"": ""Supplier Representative"", ""email"": ""laura.schmitt@bavaria-digital.de"", ""userId"": ""U302""}",2024-04-13T13:45:00+00:00
447,P002,SYSTEM,,INVOICE_PAID,ServiceOrder,43,Invoice paid for service order 43.,"{""amount"": 42347.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Paid"", ""serviceOrderId"": 43}",2024-04-15T10:45:00+00:00
426,P002,GROUP3_SYSTEM,,SERVICE_OFFER_ACCEPTED,ServiceOffer,114,Offer 114 accepted for service request SR045.,"{""offerId"": 114, ""serviceRequestId"": ""SR045""}",2024-04-15T15:30:00+00:00
427,P002,SYSTEM,,SERVICE_ORDER_CREATED,ServiceOrder,41,Service order 41 created from accepted offer 114.,"{""contractId"": ""C006"", ""serviceOrderId"": 41, ""serviceRequestId"": ""SR045""}",2024-04-17T14:15:00+00:00
174,P003,USER,U303,SERVICE_ORDER_CHANGE_REQUEST_DECIDED,ServiceOrderChangeRequest,3,Change request 3 decided: Declined.,"{""status"": ""Declined"", ""serviceOrderId"": 12, ""changeRequestId"": 3}",2024-04-17T17:30:00+00:00
171,P003,SYSTEM,,INVOICE_PAID,ServiceOrder,12,Invoice paid for service order 12.,"{""amount"": 26240.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Paid"", ""serviceOrderId"": 12}",2024-04-19T17:45:00+00:00
37,P003,SYSTEM,,USER_CREATED,User,U303,Account created for Contract Coordinator: Jan Krüger.,"{""role"": ""Contract Coordinator"", ""email"": ""jan.krueger@bavaria-digital.de"", ""userId"": ""U303""}",2024-04-23T17:15:00+00:00
430,P002,USER,U201,SERVICE_ORDER_CHANGE_REQUEST_CREATED,ServiceOrderChangeRequest,6,Change request 6 (Extension) created for order 41.,"{""type"": ""Extension"", ""serviceOrderId"": 41, ""changeRequestId"": 6}",2024-04-23T18:30:00+00:00
45,P003,SYSTEM,,SPECIALIST_ONBOARDED,User,SP3008,"Specialist onboarded: Hannah Becker (QA Engineer, Junior).","{""skills"": [""Cypress"", ""JUnit"", ""Snowflake"", ""Test Automation"", ""Test Design"", ""TypeScript""], ""userId"": ""SP3008"", ""avgDailyRate"": 436.0, ""experienceLevel"": ""Junior"", ""technologyLevel"": ""Basic""}",2024-04-30T14:45:00+00:00
460,P003,SYSTEM,,INVOICE_PAID,ServiceOrder,44,Invoice paid for service order 44.,"{""amount"": 18775.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Paid"", ""serviceOrderId"": 44}",2024-05-01T15:45:00+00:00
245,P002,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR023,Service request SR023 received and opened.,"{""type"": ""Multi"", ""contractId"": ""C003"", ""serviceRequestId"": ""SR023""}",2024-05-04T09:00:00+00:00
253,P002,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR024,Service request SR024 received and opened.,"{""type"": ""Work Contract"", ""contractId"": ""C003"", ""serviceRequestId"": ""SR024""}",2024-05-04T10:30:00+00:00
27,P002,SYSTEM,,SPECIALIST_ONBOARDED,User,SP2008,"Specialist onboarded: Jonas Becker (Project Manager, Senior).","{""skills"": [""MS Project"", ""Prince2"", ""React"", ""Risk Mgmt"", ""Scrum""], ""userId"": ""SP2008"", ""avgDailyRate"": 860.0, ""experienceLevel"": ""Senior"", ""technologyLevel"": ""Expert""}",2024-05-04T16:30:00+00:00
255,P003,USER,U302,SERVICE_OFFER_SUBMITTED,ServiceOffer,62,Offer 62 submitted for service request SR024.,"{""offerId"": 62, ""dailyRate"": 484, ""totalCost"": 21532.0, ""serviceRequestId"": ""SR024""}",2024-05-05T10:30:00+00:00
247,P001,USER,U102,SERVICE_OFFER_SUBMITTED,ServiceOffer,60,Offer 60 submitted for service request SR023.,"{""offerId"": 60, ""dailyRate"": 528, ""totalCost"": 34848.0, ""serviceRequestId"": ""SR023""}",2024-05-06T09:00:00+00:00
257,P002,SYSTEM,,SERVICE_ORDER_CREATED,ServiceOrder,21,Service order 21 created from accepted offer 61.,"{""contractId"": ""C003"", ""serviceOrderId"": 21, ""serviceRequestId"": ""SR024""}",2024-05-06T14:45:00+00:00
254,P002,USER,U202,SERVICE_OFFER_SUBMITTED,ServiceOffer,61,Offer 61 submitted for service request SR024.,"{""offerId"": 61, ""dailyRate"": 803, ""totalCost"": 35849.0, ""serviceRequestId"": ""SR024""}",2024-05-07T10:30:00+00:00
261,P002,USER,U201,SERVICE_ORDER_CHANGE_REQUEST_CREATED,ServiceOrderChangeRequest,5,Change request 5 (Substitution) created for order 21.,"{""type"": ""Substitution"", ""serviceOrderId"": 21, ""changeRequestId"": 5}",2024-05-07T11:30:00+00:00
428,P002,SYSTEM,,INVOICE_CREATED,ServiceOrder,41,Invoice created for service order 41.,"{""amount"": 10450.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Invoiced"", ""serviceOrderId"": 41}",2024-05-07T14:15:00+00:00
246,P002,USER,U202,SERVICE_OFFER_SUBMITTED,ServiceOffer,59,Offer 59 submitted for service request SR023.,"{""offerId"": 59, ""dailyRate"": 698, ""totalCost"": 46068.0, ""serviceRequestId"": ""SR023""}",2024-05-08T09:00:00+00:00
248,P001,GROUP3_SYSTEM,,SERVICE_OFFER_ACCEPTED,ServiceOffer,60,Offer 60 accepted for service request SR023.,"{""offerId"": 60, ""serviceRequestId"": ""SR023""}",2024-05-09T09:00:00+00:00
256,P002,GROUP3_SYSTEM,,SERVICE_OFFER_ACCEPTED,ServiceOffer,61,Offer 61 accepted for service request SR024.,"{""offerId"": 61, ""serviceRequestId"": ""SR024""}",2024-05-10T10:30:00+00:00
33,P002,SYSTEM,,SPECIALIST_ONBOARDED,User,SP2014,"Specialist onboarded: Nina Hoffmann (UX Designer, Senior).","{""skills"": [""Design Systems"", ""Figma"", ""Kafka"", ""Prototyping"", ""User Research""], ""userId"": ""SP2014"", ""avgDailyRate"": 789.0, ""experienceLevel"": ""Senior"", ""technologyLevel"": ""Advanced""}",2024-05-11T11:00:00+00:00
58,P001,USER,U103,CONTRACT_PUBLISHED,Contract,C001,Contract C001 published for bidding window.,"{""status"": ""Published"", ""contractId"": ""C001""}",2024-05-11T13:15:00+00:00
25,P002,SYSTEM,,SPECIALIST_ONBOARDED,User,SP2006,"Specialist onboarded: Eva Klein (Backend Engineer, Junior).","{""skills"": [""API Design"", ""Django"", ""GCP"", ""PostgreSQL"", ""Python""], ""userId"": ""SP2006"", ""avgDailyRate"": 434.0, ""experienceLevel"": ""Junior"", ""technologyLevel"": ""Intermediate""}",2024-05-15T14:00:00+00:00
55,P003,SYSTEM,,SPECIALIST_ONBOARDED,User,SP3018,"Specialist onboarded: Thomas Schmitt (DevOps Engineer, Senior).","{""skills"": [""CI/CD"", ""Docker"", ""Kafka"", ""Kubernetes"", ""Terraform""], ""userId"": ""SP3018"", ""avgDailyRate"": 912.0, ""experienceLevel"": ""Senior"", ""technologyLevel"": ""Expert""}",2024-05-18T15:45:00+00:00
249,P001,SYSTEM,,SERVICE_ORDER_CREATED,ServiceOrder,20,Service order 20 created from accepted offer 60.,"{""contractId"": ""C003"", ""serviceOrderId"": 20, ""serviceRequestId"": ""SR023""}",2024-05-19T10:00:00+00:00
258,P002,SYSTEM,,INVOICE_CREATED,ServiceOrder,21,Invoice created for service order 21.,"{""amount"": 35849.0, ""currency"": ""EUR"", ""invoiceStatus"": ""Invoiced"", ""serviceOrderId"": 21}",2024-05-20T14:45:00+00:00
